# Expression descriptors.
calm confident expression
slight smile
soft smile
dangerous grin
melancholic gaze
serious stare
playful fang smile
quiet mysterious smile
cold queenly expression
gentle dreamy expression
villainess smile
focused battle expression
soft blush, composed face
biting lower lip, symmetrical face
dreamy gaze, lip gloss highlight
dreamy gaze, clean teeth detail
dreamy gaze, soft cheek blush
dreamy gaze, eyeliner detail
dreamy gaze, face framed by hair
dreamy gaze, dramatic mouth shadow
dreamy gaze, clear nose highlight
dreamy gaze, symmetrical face
teasing expression, lip gloss highlight
teasing expression, clean teeth detail
teasing expression, soft cheek blush
teasing expression, eyeliner detail
teasing expression, face framed by hair
teasing expression, dramatic mouth shadow
teasing expression, clear nose highlight
teasing expression, symmetrical face
villainess smirk, lip gloss highlight
villainess smirk, clean teeth detail
villainess smirk, soft cheek blush
villainess smirk, eyeliner detail
villainess smirk, face framed by hair
villainess smirk, dramatic mouth shadow
villainess smirk, clear nose highlight
villainess smirk, symmetrical face
melancholic stare, lip gloss highlight
melancholic stare, clean teeth detail
melancholic stare, soft cheek blush
melancholic stare, eyeliner detail
melancholic stare, face framed by hair
melancholic stare, dramatic mouth shadow
melancholic stare, clear nose highlight
melancholic stare, symmetrical face
confident smile, lip gloss highlight
confident smile, clean teeth detail
confident smile, soft cheek blush
confident smile, eyeliner detail
confident smile, face framed by hair
confident smile, dramatic mouth shadow
confident smile, clear nose highlight
confident smile, symmetrical face
flustered expression, lip gloss highlight
flustered expression, clean teeth detail
flustered expression, soft cheek blush
flustered expression, eyeliner detail
flustered expression, face framed by hair
flustered expression, dramatic mouth shadow
flustered expression, clear nose highlight
flustered expression, symmetrical face
predatory gaze, lip gloss highlight
predatory gaze, clean teeth detail
predatory gaze, soft cheek blush
predatory gaze, eyeliner detail
predatory gaze, face framed by hair
predatory gaze, dramatic mouth shadow
predatory gaze, clear nose highlight
predatory gaze, symmetrical face
elegant bored expression, lip gloss highlight
elegant bored expression, clean teeth detail
elegant bored expression, soft cheek blush
elegant bored expression, eyeliner detail
elegant bored expression, face framed by hair
elegant bored expression, dramatic mouth shadow
elegant bored expression, clear nose highlight
elegant bored expression, symmetrical face
romantic longing eyes, lip gloss highlight
romantic longing eyes, clean teeth detail
romantic longing eyes, soft cheek blush
romantic longing eyes, eyeliner detail
romantic longing eyes, face framed by hair
romantic longing eyes, dramatic mouth shadow
romantic longing eyes, clear nose highlight
romantic longing eyes, symmetrical face
wide glowing eyes, lip gloss highlight
wide glowing eyes, clean teeth detail
wide glowing eyes, soft cheek blush
wide glowing eyes, eyeliner detail
wide glowing eyes, face framed by hair
wide glowing eyes, dramatic mouth shadow
wide glowing eyes, clear nose highlight
wide glowing eyes, symmetrical face
soft parted lips, direct eye contact
soft parted lips, glossy lips
soft parted lips, sharp eyelashes
soft parted lips, soft blush
soft parted lips, fangs visible
soft parted lips, red lipstick
soft parted lips, black lipstick
soft parted lips, subtle tears
soft parted lips, sensual mood
soft parted lips, dramatic face shadow
soft parted lips, lip gloss highlight
soft parted lips, clean teeth detail
soft parted lips, soft cheek blush
soft parted lips, eyeliner detail
soft parted lips, face framed by hair
soft parted lips, dramatic mouth shadow
soft parted lips, clear nose highlight
soft parted lips, symmetrical face
quiet smile, direct eye contact
quiet smile, glossy lips
quiet smile, sharp eyelashes
quiet smile, soft blush
quiet smile, fangs visible
quiet smile, red lipstick
quiet smile, black lipstick
quiet smile, subtle tears
quiet smile, sensual mood
quiet smile, dramatic face shadow
quiet smile, lip gloss highlight
quiet smile, clean teeth detail
quiet smile, soft cheek blush
quiet smile, eyeliner detail
quiet smile, face framed by hair
quiet smile, dramatic mouth shadow
quiet smile, clear nose highlight
quiet smile, symmetrical face
sharp smile, direct eye contact
sharp smile, glossy lips
sharp smile, sharp eyelashes
sharp smile, soft blush
sharp smile, fangs visible
sharp smile, red lipstick
sharp smile, black lipstick
sharp smile, subtle tears
sharp smile, sensual mood
sharp smile, dramatic face shadow
sharp smile, lip gloss highlight
sharp smile, clean teeth detail
sharp smile, soft cheek blush
sharp smile, eyeliner detail
sharp smile, face framed by hair
sharp smile, dramatic mouth shadow
sharp smile, clear nose highlight
sharp smile, symmetrical face
playful smirk, direct eye contact
playful smirk, glossy lips
playful smirk, sharp eyelashes
playful smirk, soft blush
playful smirk, fangs visible
playful smirk, red lipstick
playful smirk, black lipstick
playful smirk, subtle tears
playful smirk, sensual mood
playful smirk, dramatic face shadow
playful smirk, lip gloss highlight
playful smirk, clean teeth detail
playful smirk, soft cheek blush
playful smirk, eyeliner detail
playful smirk, face framed by hair
playful smirk, dramatic mouth shadow
playful smirk, clear nose highlight
playful smirk, symmetrical face
cold amused gaze, direct eye contact
cold amused gaze, glossy lips
cold amused gaze, sharp eyelashes
cold amused gaze, soft blush
cold amused gaze, fangs visible
cold amused gaze, red lipstick
cold amused gaze, black lipstick
cold amused gaze, subtle tears
cold amused gaze, sensual mood
cold amused gaze, dramatic face shadow
cold amused gaze, lip gloss highlight
cold amused gaze, clean teeth detail
cold amused gaze, soft cheek blush
cold amused gaze, eyeliner detail
cold amused gaze, face framed by hair
cold amused gaze, dramatic mouth shadow
cold amused gaze, clear nose highlight
cold amused gaze, symmetrical face
inviting gaze, direct eye contact
inviting gaze, glossy lips
inviting gaze, sharp eyelashes
inviting gaze, soft blush
inviting gaze, fangs visible
inviting gaze, red lipstick
inviting gaze, black lipstick
inviting gaze, subtle tears
inviting gaze, sensual mood
inviting gaze, dramatic face shadow
inviting gaze, lip gloss highlight
inviting gaze, clean teeth detail
inviting gaze, soft cheek blush
inviting gaze, eyeliner detail
inviting gaze, face framed by hair
inviting gaze, dramatic mouth shadow
inviting gaze, clear nose highlight
inviting gaze, symmetrical face
serene expression, direct eye contact
serene expression, glossy lips
serene expression, sharp eyelashes
serene expression, soft blush
serene expression, fangs visible
serene expression, red lipstick
serene expression, black lipstick
serene expression, subtle tears
serene expression, sensual mood
serene expression, dramatic face shadow
serene expression, lip gloss highlight
serene expression, clean teeth detail
serene expression, soft cheek blush
serene expression, eyeliner detail
serene expression, face framed by hair
serene expression, dramatic mouth shadow
serene expression, clear nose highlight
serene expression, symmetrical face
commanding stare, direct eye contact
commanding stare, glossy lips
commanding stare, sharp eyelashes
commanding stare, soft blush
commanding stare, fangs visible
commanding stare, red lipstick
commanding stare, black lipstick
commanding stare, subtle tears
commanding stare, sensual mood
commanding stare, dramatic face shadow
commanding stare, lip gloss highlight
commanding stare, clean teeth detail
commanding stare, soft cheek blush
commanding stare, eyeliner detail
commanding stare, face framed by hair
commanding stare, dramatic mouth shadow
commanding stare, clear nose highlight
commanding stare, symmetrical face
subtle grin, direct eye contact
subtle grin, glossy lips
subtle grin, sharp eyelashes
subtle grin, soft blush
subtle grin, fangs visible
subtle grin, red lipstick
subtle grin, black lipstick
subtle grin, subtle tears
subtle grin, sensual mood
subtle grin, dramatic face shadow
subtle grin, lip gloss highlight
subtle grin, clean teeth detail
subtle grin, soft cheek blush
subtle grin, eyeliner detail
subtle grin, face framed by hair
subtle grin, dramatic mouth shadow
subtle grin, clear nose highlight
subtle grin, symmetrical face
gentle fang smile, direct eye contact
gentle fang smile, glossy lips
gentle fang smile, sharp eyelashes
gentle fang smile, soft blush
gentle fang smile, fangs visible
gentle fang smile, red lipstick
gentle fang smile, black lipstick
gentle fang smile, subtle tears
gentle fang smile, sensual mood
gentle fang smile, dramatic face shadow
gentle fang smile, lip gloss highlight
gentle fang smile, clean teeth detail
gentle fang smile, soft cheek blush
gentle fang smile, eyeliner detail
gentle fang smile, face framed by hair
gentle fang smile, dramatic mouth shadow
gentle fang smile, clear nose highlight
gentle fang smile, symmetrical face
